keep,place_id,name,rating,review_count,price_level,primary_type,types,areas,queries,address,maps_url
"","ChIJMy6tZgBZMEARbev-qX0Bqgg","Şəki qala restoran mərdəkan / sheki gala restaurant mardakan","2.5","23","","Restaurant","Restaurant|Restaurant|Family restaurant","Mardakan, Azerbaijan","cafe","Buzovna şüvəlan yolu, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%C5%9E%C9%99ki%20qala%20restoran%20m%C9%99rd%C9%99kan%20%2F%20sheki%20gala%20restaurant%20mardakan&query_place_id=ChIJMy6tZgBZMEARbev-qX0Bqgg"
"","ChIJZwgJbTRfMEARAn_Epbbwv94","BABUSH Coffee & Bakery","4.9","22","","Coffee shop","Coffee shop|Coffee shop","centre","coffee shop","76c Sergey Yesenin, Mərdakən, Azerbaijan","https://www.google.com/maps/search/?api=1&query=BABUSH%20Coffee%20%26%20Bakery&query_place_id=ChIJZwgJbTRfMEARAn_Epbbwv94"
"","ChIJaeY9UuWHMEARt4o7oc3v8Fk","Car Club Karaoke","4.3","22","","Restaurant","Restaurant|Restaurant","centre","karaoke","65 A Ataturk avenue, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Car%20Club%20Karaoke&query_place_id=ChIJaeY9UuWHMEARt4o7oc3v8Fk"
"","ChIJ802mVgDxMEARlKFQEnyBUuM","Coffee Hub","4.4","21","","Coffee shop","Coffee shop|Coffee shop","centre","coffee shop","H3Q5+F25, Bilgah, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Coffee%20Hub&query_place_id=ChIJ802mVgDxMEARlKFQEnyBUuM"
"","ChIJg6H5YqaHMEAR05JkCoyad84","Sushi-Nooshi","3.8","21","","Sushi restaurant","Sushi restaurant|Sushi restaurant|Sushi takeaway|Suzuki dealer","centre","sushi restaurant","Jafar Khandan St, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Sushi-Nooshi&query_place_id=ChIJg6H5YqaHMEAR05JkCoyad84"
"","ChIJx62sDtPxMEARJY0XXmG6fEE","Uzuk restaurant","3.5","21","","Restaurant","Restaurant|Restaurant","centre","burger","94 Qelebe str, Bilgah, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Uzuk%20restaurant&query_place_id=ChIJx62sDtPxMEARJY0XXmG6fEE"
"","ChIJPxWj_S9_MEARWlFat4myZ1s","Zir Lounge","5","20","","Hookah bar","Hookah bar|Hookah bar","centre","hookah lounge","Tofiq Məmmədov 3, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Zir%20Lounge&query_place_id=ChIJPxWj_S9_MEARWlFat4myZ1s"
"","ChIJ79k_93z1MEARCyxOwXidvRg","Fazenda rooms restaurant","4.9","20","","Restaurant","Restaurant|Restaurant","centre","restaurant","Mehdi Hüseynzadə küçəsi, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Fazenda%20rooms%20restaurant&query_place_id=ChIJ79k_93z1MEARCyxOwXidvRg"
"","ChIJr6V7Bi19MEAR1fDB575Qxgk","Palaz | Azerbaijan kitchen","4.6","20","","Middle Eastern restaurant","Middle Eastern restaurant|Middle Eastern restaurant","centre","Azerbaijani restaurant","9R9M+JPR, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Palaz%20%7C%20Azerbaijan%20kitchen&query_place_id=ChIJr6V7Bi19MEAR1fDB575Qxgk"
"","ChIJO5oYJb_zMEARNW53lDFzORk","Le Pain Quotidien","4.6","20","","Restaurant","Restaurant|Restaurant|Bakery|Breakfast restaurant|Brunch restaurant|Coffee shop","centre","restaurant","Sea Breeze Resort, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Le%20Pain%20Quotidien&query_place_id=ChIJO5oYJb_zMEARNW53lDFzORk"
