keep,place_id,name,establishment_type,rating,review_count,price_level,primary_type,areas,address,maps_url
"","ChIJ23C2TwD1MEARUvw5l4VtdfY","Bir Dad doner cafe","quick_bites","5","2","","Fast food restaurant","centre","GXHX+934, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bir%20Dad%20doner%20cafe&query_place_id=ChIJ23C2TwD1MEARUvw5l4VtdfY"
"","ChIJk6ZW7SqNMEARYliUxeLeyUM","İstisoba.house","dessert_bakery","5","2","","Bakery","centre","Ağa Əlizadə, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%C4%B0stisoba.house&query_place_id=ChIJk6ZW7SqNMEARYliUxeLeyUM"
"","ChIJSTRC8fpfMEARiqdYff7ETtk","Nemiroff Bar","bar_pub","5","2","","Bar","centre","Baku 1090, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Nemiroff%20Bar&query_place_id=ChIJSTRC8fpfMEARiqdYff7ETtk"
"","ChIJPXgyzz3xMEARo5-RnUSoei0","Scalini italian resturant","bar_pub","5","2","","Bar","centre","H3G7+XRV, Bilgah, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Scalini%20italian%20resturant&query_place_id=ChIJPXgyzz3xMEARo5-RnUSoei0"
"","ChIJQY5pPwBfMEARJz0ql9g6oNY","ICE PUB Mərdəkan","bar_pub","5","2","","Restaurant","centre","G46Q+WH, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=ICE%20PUB%20M%C9%99rd%C9%99kan&query_place_id=ChIJQY5pPwBfMEARJz0ql9g6oNY"
"","ChIJVV4MaAD1MEARVFql0Asxrpo","Qaraj Lounge","lounge_hookah","5","2","","Villa","centre","26k Əsəd Əhmədov, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Qaraj%20Lounge&query_place_id=ChIJVV4MaAD1MEARVFql0Asxrpo"
"","ChIJo3JMDtCNMEARzS_zJ3kZ-jE","Bizim Ailə Kulninariya","dessert_bakery","5","2","","Bakery","centre","GWRC+P99, Kurdexani, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bizim%20Ail%C9%99%20Kulninariya&query_place_id=ChIJo3JMDtCNMEARzS_zJ3kZ-jE"
"","ChIJtZBRFEONMEARos4kaQayLhw","Baki corek zavodu","dessert_bakery","5","2","","Bakery","centre","GWHJ+CP2, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Baki%20corek%20zavodu&query_place_id=ChIJtZBRFEONMEARos4kaQayLhw"
"","ChIJ-fbYLnf1MEARl7lKO8IavhI","Dönər və qutab","dessert_bakery","5","2","","Bakery","centre","G2M3+CR3, Azerbaijan","https://www.google.com/maps/search/?api=1&query=D%C3%B6n%C9%99r%20v%C9%99%20qutab&query_place_id=ChIJ-fbYLnf1MEARl7lKO8IavhI"
"","ChIJqZWGAwCJMEAR_H3-bUxmm2U","Dürüm House","restaurant","5","2","","Buffet restaurant","centre","FVJ3+HW, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=D%C3%BCr%C3%BCm%20House&query_place_id=ChIJqZWGAwCJMEAR_H3-bUxmm2U"
"","ChIJD6-hWgBfMEARsOZ_m1T_zaA","Naxçıvan lavaşı","dessert_bakery","5","2","","Bakery","centre","F3QC+CH6, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Nax%C3%A7%C4%B1van%20lava%C5%9F%C4%B1&query_place_id=ChIJD6-hWgBfMEARsOZ_m1T_zaA"
"","ChIJjdmnbgCHMEARIlZpIG3eQw8","midorisushibaku","restaurant","5","2","","Seafood restaurant","centre","CRCR+3C9, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=midorisushibaku&query_place_id=ChIJjdmnbgCHMEARIlZpIG3eQw8"
"","ChIJmyN5LthZMEARESoNQ8STSBk","Tikan","bar_pub","5","2","","Tegal restaurant","centre","413 Hacı Zeynalabdin Tağıyev, Mardakan 1044, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Tikan&query_place_id=ChIJmyN5LthZMEARESoNQ8STSBk"
"","ChIJ8Zo4TIF9MEARiisagTynQPo","Damda Lounge and Restaurant","lounge_hookah","5","2","","Restaurant","centre","4th floor, Boutique19 Hotel, 19 Əziz Əliyev, Bakı 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Damda%20Lounge%20and%20Restaurant&query_place_id=ChIJ8Zo4TIF9MEARiisagTynQPo"
"","ChIJ6ztuFfiHMEARywbDsErdOwA","Gab to Go","restaurant","5","2","","Asian restaurant","centre","CR2M+WWW, Yusif Vəzir Çəmənzəminli, Bakı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Gab%20to%20Go&query_place_id=ChIJ6ztuFfiHMEARywbDsErdOwA"
